species_id,canonical_scientific,primary_common,n_prompts,prompts
1361104,Schoenoplectus lacustris,Common club-rush,3,"[""a photo of Schoenoplectus lacustris"", ""a close-up photo of Schoenoplectus lacustris"", ""a wild plant of species Schoenoplectus lacustris""]"
1388692,Podranea ricasoliana,Port st. john's-creeper,3,"[""a photo of Podranea ricasoliana"", ""a close-up photo of Podranea ricasoliana"", ""a wild plant of species Podranea ricasoliana""]"
1395020,Quercus cerris,European turkey oak,3,"[""a photo of Quercus cerris"", ""a close-up photo of Quercus cerris"", ""a wild plant of species Quercus cerris""]"
1396424,Stachys byzantina,Lamb's-ear,3,"[""a photo of Stachys byzantina"", ""a close-up photo of Stachys byzantina"", ""a wild plant of species Stachys byzantina""]"
1360326,Prunus spinosa,Blackthorn,3,"[""a photo of Prunus spinosa"", ""a close-up photo of Prunus spinosa"", ""a wild plant of species Prunus spinosa""]"
1667948,Prunus fruticans,,3,"[""a photo of Prunus fruticans"", ""a close-up photo of Prunus fruticans"", ""a wild plant of species Prunus fruticans""]"
1393331,Jasminum nudiflorum,Winter jasmine,3,"[""a photo of Jasminum nudiflorum"", ""a close-up photo of Jasminum nudiflorum"", ""a wild plant of species Jasminum nudiflorum""]"
1356276,Sambucus ebulus,Danewort,3,"[""a photo of Sambucus ebulus"", ""a close-up photo of Sambucus ebulus"", ""a wild plant of species Sambucus ebulus""]"
1394877,Potentilla sterilis,Barren strawberry,3,"[""a photo of Potentilla sterilis"", ""a close-up photo of Potentilla sterilis"", ""a wild plant of species Potentilla sterilis""]"
1358613,Quercus coccifera,Kermes oak,3,"[""a photo of Quercus coccifera"", ""a close-up photo of Quercus coccifera"", ""a wild plant of species Quercus coccifera""]"
1360324,Prunus padus,Bird cherry,3,"[""a photo of Prunus padus"", ""a close-up photo of Prunus padus"", ""a wild plant of species Prunus padus""]"
1362488,Santolina rosmarinifolia,Holy-flax,3,"[""a photo of Santolina rosmarinifolia"", ""a close-up photo of Santolina rosmarinifolia"", ""a wild plant of species Santolina rosmarinifolia""]"
1358494,Elaeagnus angustifolia,Oleaster,3,"[""a photo of Elaeagnus angustifolia"", ""a close-up photo of Elaeagnus angustifolia"", ""a wild plant of species Elaeagnus angustifolia""]"
1722409,Salvia rosmarinus,Rosemary,3,"[""a photo of Salvia rosmarinus"", ""a close-up photo of Salvia rosmarinus"", ""a wild plant of species Salvia rosmarinus""]"
1392353,Filipendula ulmaria,,3,"[""a photo of Filipendula ulmaria"", ""a close-up photo of Filipendula ulmaria"", ""a wild plant of species Filipendula ulmaria""]"
1395253,Rosa arvensis,Field-rose,3,"[""a photo of Rosa arvensis"", ""a close-up photo of Rosa arvensis"", ""a wild plant of species Rosa arvensis""]"
1395643,Rumex alpinus,Alpine dock,3,"[""a photo of Rumex alpinus"", ""a close-up photo of Rumex alpinus"", ""a wild plant of species Rumex alpinus""]"
1360792,Scandix australis,,3,"[""a photo of Scandix australis"", ""a close-up photo of Scandix australis"", ""a wild plant of species Scandix australis""]"
1356066,Plantago lanceolata,Buckhorn,3,"[""a photo of Plantago lanceolata"", ""a close-up photo of Plantago lanceolata"", ""a wild plant of species Plantago lanceolata""]"
1360520,Verbascum boerhavii,,3,"[""a photo of Verbascum boerhavii"", ""a close-up photo of Verbascum boerhavii"", ""a wild plant of species Verbascum boerhavii""]"
1395935,Sarracenia purpurea,Common pitcherplant,3,"[""a photo of Sarracenia purpurea"", ""a close-up photo of Sarracenia purpurea"", ""a wild plant of species Sarracenia purpurea""]"
1360132,Rumex obtusifolius,Bitter dock,3,"[""a photo of Rumex obtusifolius"", ""a close-up photo of Rumex obtusifolius"", ""a wild plant of species Rumex obtusifolius""]"
1363424,Digitaria sanguinalis,,3,"[""a photo of Digitaria sanguinalis"", ""a close-up photo of Digitaria sanguinalis"", ""a wild plant of species Digitaria sanguinalis""]"
1356975,Silene colorata,,3,"[""a photo of Silene colorata"", ""a close-up photo of Silene colorata"", ""a wild plant of species Silene colorata""]"
1364085,Tamarix ramosissima,Odessa tamarisk,3,"[""a photo of Tamarix ramosissima"", ""a close-up photo of Tamarix ramosissima"", ""a wild plant of species Tamarix ramosissima""]"
1393536,Lilium pyrenaicum,Pyrenean lily,3,"[""a photo of Lilium pyrenaicum"", ""a close-up photo of Lilium pyrenaicum"", ""a wild plant of species Lilium pyrenaicum""]"
1728592,Potentilla verna,Spring cinquefoil,3,"[""a photo of Potentilla verna"", ""a close-up photo of Potentilla verna"", ""a wild plant of species Potentilla verna""]"
1394967,Pseudotsuga menziesii,British columbia fir,3,"[""a photo of Pseudotsuga menziesii"", ""a close-up photo of Pseudotsuga menziesii"", ""a wild plant of species Pseudotsuga menziesii""]"
1393214,Hornungia alpina,,3,"[""a photo of Hornungia alpina"", ""a close-up photo of Hornungia alpina"", ""a wild plant of species Hornungia alpina""]"
1395150,Reynoutria japonica,Asian knotweed,3,"[""a photo of Reynoutria japonica"", ""a close-up photo of Reynoutria japonica"", ""a wild plant of species Reynoutria japonica""]"
1356094,Persicaria maculosa,Jesusplant,3,"[""a photo of Persicaria maculosa"", ""a close-up photo of Persicaria maculosa"", ""a wild plant of species Persicaria maculosa""]"
1360316,Prunus avium,Bird cherry,3,"[""a photo of Prunus avium"", ""a close-up photo of Prunus avium"", ""a wild plant of species Prunus avium""]"
1360898,Agave americana,American agave,3,"[""a photo of Agave americana"", ""a close-up photo of Agave americana"", ""a wild plant of species Agave americana""]"
1360322,Prunus lusitanica,Portugal laurel,3,"[""a photo of Prunus lusitanica"", ""a close-up photo of Prunus lusitanica"", ""a wild plant of species Prunus lusitanica""]"
1396446,Stellaria graminea,Common stitchwort,3,"[""a photo of Stellaria graminea"", ""a close-up photo of Stellaria graminea"", ""a wild plant of species Stellaria graminea""]"
1356303,Sanguisorba minor,Garden burnet,3,"[""a photo of Sanguisorba minor"", ""a close-up photo of Sanguisorba minor"", ""a wild plant of species Sanguisorba minor""]"
1395911,Salvia glutinosa,Jupiter's distaff,3,"[""a photo of Salvia glutinosa"", ""a close-up photo of Salvia glutinosa"", ""a wild plant of species Salvia glutinosa""]"
1391619,Dactylorhiza viridis,Frog orchid,3,"[""a photo of Dactylorhiza viridis"", ""a close-up photo of Dactylorhiza viridis"", ""a wild plant of species Dactylorhiza viridis""]"
1358517,Rhododendron ponticum,Pontian rhododendron,3,"[""a photo of Rhododendron ponticum"", ""a close-up photo of Rhododendron ponticum"", ""a wild plant of species Rhododendron ponticum""]"
1364170,Sonchus oleraceus,Annual sow thistle,3,"[""a photo of Sonchus oleraceus"", ""a close-up photo of Sonchus oleraceus"", ""a wild plant of species Sonchus oleraceus""]"
1370859,Prunus serotina,Black cherry,3,"[""a photo of Prunus serotina"", ""a close-up photo of Prunus serotina"", ""a wild plant of species Prunus serotina""]"
1395785,Salix eleagnos,Bitter willow,3,"[""a photo of Salix eleagnos"", ""a close-up photo of Salix eleagnos"", ""a wild plant of species Salix eleagnos""]"
1394250,Opuntia humifusa,Creeping prickly-pear,3,"[""a photo of Opuntia humifusa"", ""a close-up photo of Opuntia humifusa"", ""a wild plant of species Opuntia humifusa""]"
1396055,Scabiosa atropurpurea,Mourningbride,3,"[""a photo of Scabiosa atropurpurea"", ""a close-up photo of Scabiosa atropurpurea"", ""a wild plant of species Scabiosa atropurpurea""]"
1397608,Sambucus racemosa,European red elder,3,"[""a photo of Sambucus racemosa"", ""a close-up photo of Sambucus racemosa"", ""a wild plant of species Sambucus racemosa""]"
1396511,Tanacetum parthenium,Feverfew,3,"[""a photo of Tanacetum parthenium"", ""a close-up photo of Tanacetum parthenium"", ""a wild plant of species Tanacetum parthenium""]"
1360350,Rosa spinosissima,Burnet rose,3,"[""a photo of Rosa spinosissima"", ""a close-up photo of Rosa spinosissima"", ""a wild plant of species Rosa spinosissima""]"
1396797,Tilia cordata,Linden,3,"[""a photo of Tilia cordata"", ""a close-up photo of Tilia cordata"", ""a wild plant of species Tilia cordata""]"
1397488,Scabiosa lucida,,3,"[""a photo of Scabiosa lucida"", ""a close-up photo of Scabiosa lucida"", ""a wild plant of species Scabiosa lucida""]"
1487336,Mammillaria elongata,Golden star cactus,3,"[""a photo of Mammillaria elongata"", ""a close-up photo of Mammillaria elongata"", ""a wild plant of species Mammillaria elongata""]"
1358101,Sedum caeruleum,,3,"[""a photo of Sedum caeruleum"", ""a close-up photo of Sedum caeruleum"", ""a wild plant of species Sedum caeruleum""]"
1360433,Rubia peregrina,Wild madder,3,"[""a photo of Rubia peregrina"", ""a close-up photo of Rubia peregrina"", ""a wild plant of species Rubia peregrina""]"
1356115,Salvia verbenaca,,3,"[""a photo of Salvia verbenaca"", ""a close-up photo of Salvia verbenaca"", ""a wild plant of species Salvia verbenaca""]"
1396078,Schinus terebinthifolia,Brazilian pepper-tree,3,"[""a photo of Schinus terebinthifolia"", ""a close-up photo of Schinus terebinthifolia"", ""a wild plant of species Schinus terebinthifolia""]"
1356404,Pteridium aquilinum,Bracken,3,"[""a photo of Pteridium aquilinum"", ""a close-up photo of Pteridium aquilinum"", ""a wild plant of species Pteridium aquilinum""]"
1391319,Colchicum bulbocodium,,3,"[""a photo of Colchicum bulbocodium"", ""a close-up photo of Colchicum bulbocodium"", ""a wild plant of species Colchicum bulbocodium""]"
1363249,Amaranthus cruentus,African-spinach,3,"[""a photo of Amaranthus cruentus"", ""a close-up photo of Amaranthus cruentus"", ""a wild plant of species Amaranthus cruentus""]"
1396093,Scilla bifolia,Alpine squill,3,"[""a photo of Scilla bifolia"", ""a close-up photo of Scilla bifolia"", ""a wild plant of species Scilla bifolia""]"
1394955,Prunus virginiana,Bitter-berry,3,"[""a photo of Prunus virginiana"", ""a close-up photo of Prunus virginiana"", ""a wild plant of species Prunus virginiana""]"
1358617,Quercus suber,Cork oak,3,"[""a photo of Quercus suber"", ""a close-up photo of Quercus suber"", ""a wild plant of species Quercus suber""]"
1360313,Potentilla recta,Beşparmak otu,3,"[""a photo of Potentilla recta"", ""a close-up photo of Potentilla recta"", ""a wild plant of species Potentilla recta""]"
1356295,Reseda lutea,Cut-leaf mignonette,3,"[""a photo of Reseda lutea"", ""a close-up photo of Reseda lutea"", ""a wild plant of species Reseda lutea""]"
1394969,Pterocarya fraxinifolia,Caucasian wingnut,3,"[""a photo of Pterocarya fraxinifolia"", ""a close-up photo of Pterocarya fraxinifolia"", ""a wild plant of species Pterocarya fraxinifolia""]"
1389058,Santolina decumbens,,3,"[""a photo of Santolina decumbens"", ""a close-up photo of Santolina decumbens"", ""a wild plant of species Santolina decumbens""]"
1360261,Rhamnus alpina,,3,"[""a photo of Rhamnus alpina"", ""a close-up photo of Rhamnus alpina"", ""a wild plant of species Rhamnus alpina""]"
1357722,Notobasis syriaca,Syrian thistle,3,"[""a photo of Notobasis syriaca"", ""a close-up photo of Notobasis syriaca"", ""a wild plant of species Notobasis syriaca""]"
1396296,Silene uniflora,Sea campion,3,"[""a photo of Silene uniflora"", ""a close-up photo of Silene uniflora"", ""a wild plant of species Silene uniflora""]"
1360219,Ranunculus peltatus,Pond water-crowfoot,3,"[""a photo of Ranunculus peltatus"", ""a close-up photo of Ranunculus peltatus"", ""a wild plant of species Ranunculus peltatus""]"
1360120,Rumex acetosa,Common sorrel,3,"[""a photo of Rumex acetosa"", ""a close-up photo of Rumex acetosa"", ""a wild plant of species Rumex acetosa""]"
1399973,Kalanchoe daigremontiana,Devil's backbone,3,"[""a photo of Kalanchoe daigremontiana"", ""a close-up photo of Kalanchoe daigremontiana"", ""a wild plant of species Kalanchoe daigremontiana""]"
1722522,Salicornia fruticosa,Shrubby swampfire,3,"[""a photo of Salicornia fruticosa"", ""a close-up photo of Salicornia fruticosa"", ""a wild plant of species Salicornia fruticosa""]"
1395807,Salix herbacea,Dwarf willow,3,"[""a photo of Salix herbacea"", ""a close-up photo of Salix herbacea"", ""a wild plant of species Salix herbacea""]"
1356314,Rumex pulcher,Fiddle dock,3,"[""a photo of Rumex pulcher"", ""a close-up photo of Rumex pulcher"", ""a wild plant of species Rumex pulcher""]"
1356570,Rhus coriaria,Elm-leaved sumac,3,"[""a photo of Rhus coriaria"", ""a close-up photo of Rhus coriaria"", ""a wild plant of species Rhus coriaria""]"
1360443,Ruta angustifolia,,3,"[""a photo of Ruta angustifolia"", ""a close-up photo of Ruta angustifolia"", ""a wild plant of species Ruta angustifolia""]"
1360193,Ranunculus bulbosus,Blister flower,3,"[""a photo of Ranunculus bulbosus"", ""a close-up photo of Ranunculus bulbosus"", ""a wild plant of species Ranunculus bulbosus""]"
1357805,Pulicaria odora,,3,"[""a photo of Pulicaria odora"", ""a close-up photo of Pulicaria odora"", ""a wild plant of species Pulicaria odora""]"
1361829,Satureja montana,Savory,3,"[""a photo of Satureja montana"", ""a close-up photo of Satureja montana"", ""a wild plant of species Satureja montana""]"
1358614,Quercus faginea,Gall oak tree,3,"[""a photo of Quercus faginea"", ""a close-up photo of Quercus faginea"", ""a wild plant of species Quercus faginea""]"
1395343,Rosa rugosa,Japanese rose,3,"[""a photo of Rosa rugosa"", ""a close-up photo of Rosa rugosa"", ""a wild plant of species Rosa rugosa""]"
1363978,Reseda luteola,,3,"[""a photo of Reseda luteola"", ""a close-up photo of Reseda luteola"", ""a wild plant of species Reseda luteola""]"
1729475,Pyracantha crenulata,Himalayan firethorn,3,"[""a photo of Pyracantha crenulata"", ""a close-up photo of Pyracantha crenulata"", ""a wild plant of species Pyracantha crenulata""]"
1356044,Mesembryanthemum crystallinum,Common iceplant,3,"[""a photo of Mesembryanthemum crystallinum"", ""a close-up photo of Mesembryanthemum crystallinum"", ""a wild plant of species Mesembryanthemum crystallinum""]"
1397327,Berteroa incana,,3,"[""a photo of Berteroa incana"", ""a close-up photo of Berteroa incana"", ""a wild plant of species Berteroa incana""]"
1396018,Saxifraga oppositifolia,Purple mountain saxifrage,3,"[""a photo of Saxifraga oppositifolia"", ""a close-up photo of Saxifraga oppositifolia"", ""a wild plant of species Saxifraga oppositifolia""]"
1392041,Erigeron canadensis,Butterweed,3,"[""a photo of Erigeron canadensis"", ""a close-up photo of Erigeron canadensis"", ""a wild plant of species Erigeron canadensis""]"
1355900,Ageratum houstonianum,Ageratum,3,"[""a photo of Ageratum houstonianum"", ""a close-up photo of Ageratum houstonianum"", ""a wild plant of species Ageratum houstonianum""]"
1392159,Alchemilla hybrida,,3,"[""a photo of Alchemilla hybrida"", ""a close-up photo of Alchemilla hybrida"", ""a wild plant of species Alchemilla hybrida""]"
1395477,Rubus fruticosus,Blackberry,3,"[""a photo of Rubus fruticosus"", ""a close-up photo of Rubus fruticosus"", ""a wild plant of species Rubus fruticosus""]"
1360613,Anthriscus cerefolium,Chervil,3,"[""a photo of Anthriscus cerefolium"", ""a close-up photo of Anthriscus cerefolium"", ""a wild plant of species Anthriscus cerefolium""]"
1394898,Primula auricula,Auricula,3,"[""a photo of Primula auricula"", ""a close-up photo of Primula auricula"", ""a wild plant of species Primula auricula""]"
1395200,Ribes nigrum,Black currant,3,"[""a photo of Ribes nigrum"", ""a close-up photo of Ribes nigrum"", ""a wild plant of species Ribes nigrum""]"
1359322,Lotus pedunculatus,"Big trefoil, marsh bird's foot trefoil",3,"[""a photo of Lotus pedunculatus"", ""a close-up photo of Lotus pedunculatus"", ""a wild plant of species Lotus pedunculatus""]"
1363772,Acacia pycnantha,Australian golden wattle,3,"[""a photo of Acacia pycnantha"", ""a close-up photo of Acacia pycnantha"", ""a wild plant of species Acacia pycnantha""]"
1356082,Rumex acetosella,Common sheep sorrel,3,"[""a photo of Rumex acetosella"", ""a close-up photo of Rumex acetosella"", ""a wild plant of species Rumex acetosella""]"
1360982,Sternbergia lutea,Common sternbergia,3,"[""a photo of Sternbergia lutea"", ""a close-up photo of Sternbergia lutea"", ""a wild plant of species Sternbergia lutea""]"
1398197,Saururus cernuus,Lizard's tail,3,"[""a photo of Saururus cernuus"", ""a close-up photo of Saururus cernuus"", ""a wild plant of species Saururus cernuus""]"
1395977,Saxifraga fragosoi,,3,"[""a photo of Saxifraga fragosoi"", ""a close-up photo of Saxifraga fragosoi"", ""a wild plant of species Saxifraga fragosoi""]"
1395952,Saxifraga caesia,,3,"[""a photo of Saxifraga caesia"", ""a close-up photo of Saxifraga caesia"", ""a wild plant of species Saxifraga caesia""]"
1722550,Schenkia spicata,Spiked centaury,3,"[""a photo of Schenkia spicata"", ""a close-up photo of Schenkia spicata"", ""a wild plant of species Schenkia spicata""]"
1400721,Salvinia auriculata,African payal,3,"[""a photo of Salvinia auriculata"", ""a close-up photo of Salvinia auriculata"", ""a wild plant of species Salvinia auriculata""]"
1391408,Cotoneaster franchetii,Franchet's cotoneaster,3,"[""a photo of Cotoneaster franchetii"", ""a close-up photo of Cotoneaster franchetii"", ""a wild plant of species Cotoneaster franchetii""]"
1363341,Silene noctiflora,,3,"[""a photo of Silene noctiflora"", ""a close-up photo of Silene noctiflora"", ""a wild plant of species Silene noctiflora""]"
1363642,Schinus molle,American pepper,3,"[""a photo of Schinus molle"", ""a close-up photo of Schinus molle"", ""a wild plant of species Schinus molle""]"
1394997,Pyrola chlorantha,Green-flowered wintergreen,3,"[""a photo of Pyrola chlorantha"", ""a close-up photo of Pyrola chlorantha"", ""a wild plant of species Pyrola chlorantha""]"
1394988,Pulmonaria officinalis,Bloody-butcher,3,"[""a photo of Pulmonaria officinalis"", ""a close-up photo of Pulmonaria officinalis"", ""a wild plant of species Pulmonaria officinalis""]"
1356528,Scleranthus annuus,Annual knawel,3,"[""a photo of Scleranthus annuus"", ""a close-up photo of Scleranthus annuus"", ""a wild plant of species Scleranthus annuus""]"
1396115,Scorzonera humilis,,3,"[""a photo of Scorzonera humilis"", ""a close-up photo of Scorzonera humilis"", ""a wild plant of species Scorzonera humilis""]"
1396117,Scorzoneroides autumnalis,Autumn hawkbit,3,"[""a photo of Scorzoneroides autumnalis"", ""a close-up photo of Scorzoneroides autumnalis"", ""a wild plant of species Scorzoneroides autumnalis""]"
1397480,Salvia verticillata,Lilac sage,3,"[""a photo of Salvia verticillata"", ""a close-up photo of Salvia verticillata"", ""a wild plant of species Salvia verticillata""]"
1357314,Bellis annua,,3,"[""a photo of Bellis annua"", ""a close-up photo of Bellis annua"", ""a wild plant of species Bellis annua""]"
1397507,Symphytum tuberosum,,3,"[""a photo of Symphytum tuberosum"", ""a close-up photo of Symphytum tuberosum"", ""a wild plant of species Symphytum tuberosum""]"
1396709,Taxodium distichum,Bald cypress,3,"[""a photo of Taxodium distichum"", ""a close-up photo of Taxodium distichum"", ""a wild plant of species Taxodium distichum""]"
1395538,Rubus macrophyllus,Large-leaved bramble,3,"[""a photo of Rubus macrophyllus"", ""a close-up photo of Rubus macrophyllus"", ""a wild plant of species Rubus macrophyllus""]"
1395001,Pyrola rotundifolia,Round-leaved wintergreen,3,"[""a photo of Pyrola rotundifolia"", ""a close-up photo of Pyrola rotundifolia"", ""a wild plant of species Pyrola rotundifolia""]"
1360451,Salix atrocinerea,Large gray willow,3,"[""a photo of Salix atrocinerea"", ""a close-up photo of Salix atrocinerea"", ""a wild plant of species Salix atrocinerea""]"
1389817,Achnatherum bromoides,,3,"[""a photo of Achnatherum bromoides"", ""a close-up photo of Achnatherum bromoides"", ""a wild plant of species Achnatherum bromoides""]"
1397478,Salix hastata,Halberd willow,3,"[""a photo of Salix hastata"", ""a close-up photo of Salix hastata"", ""a wild plant of species Salix hastata""]"
1357809,Pulicaria vulgaris,Daisy,3,"[""a photo of Pulicaria vulgaris"", ""a close-up photo of Pulicaria vulgaris"", ""a wild plant of species Pulicaria vulgaris""]"
1437245,Rhinanthus major,European yellow rattle,3,"[""a photo of Rhinanthus major"", ""a close-up photo of Rhinanthus major"", ""a wild plant of species Rhinanthus major""]"
1395715,Sagina nodosa,Knotted pearlwort,3,"[""a photo of Sagina nodosa"", ""a close-up photo of Sagina nodosa"", ""a wild plant of species Sagina nodosa""]"
1395982,Saxifraga geranioides,,3,"[""a photo of Saxifraga geranioides"", ""a close-up photo of Saxifraga geranioides"", ""a wild plant of species Saxifraga geranioides""]"
1359918,Linaria pelisseriana,Jersey toadflax,3,"[""a photo of Linaria pelisseriana"", ""a close-up photo of Linaria pelisseriana"", ""a wild plant of species Linaria pelisseriana""]"
1357697,Leontodon hispidus,Bristly hawkbit,3,"[""a photo of Leontodon hispidus"", ""a close-up photo of Leontodon hispidus"", ""a wild plant of species Leontodon hispidus""]"
1356947,Scleranthus perennis,Perennial knawel,3,"[""a photo of Scleranthus perennis"", ""a close-up photo of Scleranthus perennis"", ""a wild plant of species Scleranthus perennis""]"
1363191,Salicornia europaea,Chicken-claws,3,"[""a photo of Salicornia europaea"", ""a close-up photo of Salicornia europaea"", ""a wild plant of species Salicornia europaea""]"
1393682,Amaranthus viridis,Callaloo,3,"[""a photo of Amaranthus viridis"", ""a close-up photo of Amaranthus viridis"", ""a wild plant of species Amaranthus viridis""]"
1395097,Ranunculus kuepferi,,3,"[""a photo of Ranunculus kuepferi"", ""a close-up photo of Ranunculus kuepferi"", ""a wild plant of species Ranunculus kuepferi""]"
1738870,Rubus idaeoides,,3,"[""a photo of Rubus idaeoides"", ""a close-up photo of Rubus idaeoides"", ""a wild plant of species Rubus idaeoides""]"
1397161,Viola lutea,Mountain pansy,3,"[""a photo of Viola lutea"", ""a close-up photo of Viola lutea"", ""a wild plant of species Viola lutea""]"
1396252,Setaria verticillata,Bristle pigeon grass,3,"[""a photo of Setaria verticillata"", ""a close-up photo of Setaria verticillata"", ""a wild plant of species Setaria verticillata""]"
1395920,Sanguisorba officinalis,Burnet bloodwort,3,"[""a photo of Sanguisorba officinalis"", ""a close-up photo of Sanguisorba officinalis"", ""a wild plant of species Sanguisorba officinalis""]"
1363165,Suaeda maritima,Annual sea-blite,3,"[""a photo of Suaeda maritima"", ""a close-up photo of Suaeda maritima"", ""a wild plant of species Suaeda maritima""]"
1392891,Allium victorialis,,3,"[""a photo of Allium victorialis"", ""a close-up photo of Allium victorialis"", ""a wild plant of species Allium victorialis""]"
1360344,Rosa moschata,Musk rose,3,"[""a photo of Rosa moschata"", ""a close-up photo of Rosa moschata"", ""a wild plant of species Rosa moschata""]"
1357129,Helianthemum caput-felis,,3,"[""a photo of Helianthemum caput-felis"", ""a close-up photo of Helianthemum caput-felis"", ""a wild plant of species Helianthemum caput-felis""]"
1414294,Bidens connata,London bur-marigold,3,"[""a photo of Bidens connata"", ""a close-up photo of Bidens connata"", ""a wild plant of species Bidens connata""]"
1420444,Rosa banksiae,,3,"[""a photo of Rosa banksiae"", ""a close-up photo of Rosa banksiae"", ""a wild plant of species Rosa banksiae""]"
1721133,Psammophiliella muralis,Annual gypsophila,3,"[""a photo of Psammophiliella muralis"", ""a close-up photo of Psammophiliella muralis"", ""a wild plant of species Psammophiliella muralis""]"
1742025,Scorzonera purpurea,,3,"[""a photo of Scorzonera purpurea"", ""a close-up photo of Scorzonera purpurea"", ""a wild plant of species Scorzonera purpurea""]"
1737651,Pseudognaphalium luteoalbum,Jersey cudweed,3,"[""a photo of Pseudognaphalium luteoalbum"", ""a close-up photo of Pseudognaphalium luteoalbum"", ""a wild plant of species Pseudognaphalium luteoalbum""]"
1398310,Saxifraga hostii,,3,"[""a photo of Saxifraga hostii"", ""a close-up photo of Saxifraga hostii"", ""a wild plant of species Saxifraga hostii""]"
1363218,Apium graveolens,Celery,3,"[""a photo of Apium graveolens"", ""a close-up photo of Apium graveolens"", ""a wild plant of species Apium graveolens""]"
1362360,Potentilla hirta,,3,"[""a photo of Potentilla hirta"", ""a close-up photo of Potentilla hirta"", ""a wild plant of species Potentilla hirta""]"
1363791,Scorpiurus muricatus,Caterpillar plant,3,"[""a photo of Scorpiurus muricatus"", ""a close-up photo of Scorpiurus muricatus"", ""a wild plant of species Scorpiurus muricatus""]"
1563105,Salvia sylvestris,Woodland sage,3,"[""a photo of Salvia sylvestris"", ""a close-up photo of Salvia sylvestris"", ""a wild plant of species Salvia sylvestris""]"
1743126,Pulsatilla montana,,3,"[""a photo of Pulsatilla montana"", ""a close-up photo of Pulsatilla montana"", ""a wild plant of species Pulsatilla montana""]"
1395646,Rumex arifolius,,3,"[""a photo of Rumex arifolius"", ""a close-up photo of Rumex arifolius"", ""a wild plant of species Rumex arifolius""]"
1361519,Prospero autumnale,Autumn squill,3,"[""a photo of Prospero autumnale"", ""a close-up photo of Prospero autumnale"", ""a wild plant of species Prospero autumnale""]"
1396509,Tanacetum balsamita,Costmary,3,"[""a photo of Tanacetum balsamita"", ""a close-up photo of Tanacetum balsamita"", ""a wild plant of species Tanacetum balsamita""]"
1395936,Satureja hortensis,,3,"[""a photo of Satureja hortensis"", ""a close-up photo of Satureja hortensis"", ""a wild plant of species Satureja hortensis""]"
1359528,Trifolium subterraneum,Subterranean clover,3,"[""a photo of Trifolium subterraneum"", ""a close-up photo of Trifolium subterraneum"", ""a wild plant of species Trifolium subterraneum""]"
1362353,Parietaria officinalis,Eastern pellitory-of-the-wall,3,"[""a photo of Parietaria officinalis"", ""a close-up photo of Parietaria officinalis"", ""a wild plant of species Parietaria officinalis""]"
