species_id,canonical_scientific,primary_common,n_prompts,prompts
1360222,Ranunculus repens,Creeping buttercup,13,"[""a photo of Ranunculus repens"", ""a close-up photo of Ranunculus repens"", ""a wild plant of species Ranunculus repens"", ""a photo of Creeping buttercup"", ""a close-up photo of Creeping buttercup"", ""a wild plant called Creeping buttercup"", ""a photo of Creeping crowfoot"", ""a close-up photo of Creeping crowfoot"", ""a wild plant called Creeping crowfoot"", ""a photo of Ranunculus repens (Creeping buttercup)"", ""a close-up photo of Ranunculus repens (Creeping buttercup)"", ""a photo of Ranunculus repens, a plant in the family Ranunculaceae"", ""a close-up photo of Ranunculus repens, a plant in the family Ranunculaceae""]"
1395765,Salix caprea,Goat willow,16,"[""a photo of Salix caprea"", ""a close-up photo of Salix caprea"", ""a wild plant of species Salix caprea"", ""a photo of Goat willow"", ""a close-up photo of Goat willow"", ""a wild plant called Goat willow"", ""a photo of Great sallow"", ""a close-up photo of Great sallow"", ""a wild plant called Great sallow"", ""a photo of Pussy willow"", ""a close-up photo of Pussy willow"", ""a wild plant called Pussy willow"", ""a photo of Salix caprea (Goat willow)"", ""a close-up photo of Salix caprea (Goat willow)"", ""a photo of Salix caprea, a plant in the family Salicaceae"", ""a close-up photo of Salix caprea, a plant in the family Salicaceae""]"
1721637,Potentilla indica,False strawberry,19,"[""a photo of Potentilla indica"", ""a close-up photo of Potentilla indica"", ""a wild plant of species Potentilla indica"", ""a photo of False strawberry"", ""a close-up photo of False strawberry"", ""a wild plant called False strawberry"", ""a photo of Indian strawberry"", ""a close-up photo of Indian strawberry"", ""a wild plant called Indian strawberry"", ""a photo of Indian-strawberry"", ""a close-up photo of Indian-strawberry"", ""a wild plant called Indian-strawberry"", ""a photo of Mock strawberry"", ""a close-up photo of Mock strawberry"", ""a wild plant called Mock strawberry"", ""a photo of Potentilla indica (False strawberry)"", ""a close-up photo of Potentilla indica (False strawberry)"", ""a photo of Potentilla indica, a plant in the family Rosaceae"", ""a close-up photo of Potentilla indica, a plant in the family Rosaceae""]"
1356257,Melilotus albus,Bokhara clover,19,"[""a photo of Melilotus albus"", ""a close-up photo of Melilotus albus"", ""a wild plant of species Melilotus albus"", ""a photo of Bokhara clover"", ""a close-up photo of Bokhara clover"", ""a wild plant called Bokhara clover"", ""a photo of Bokhara-clover"", ""a close-up photo of Bokhara-clover"", ""a wild plant called Bokhara-clover"", ""a photo of Bukhara clover, white melilot, white sweet-clover, honey clover, honey-lotus, tree clover, whiter millet"", ""a close-up photo of Bukhara clover, white melilot, white sweet-clover, honey clover, honey-lotus, tree clover, whiter millet"", ""a wild plant called Bukhara clover, white melilot, white sweet-clover, honey clover, honey-lotus, tree clover, whiter millet"", ""a photo of Honey-clover"", ""a close-up photo of Honey-clover"", ""a wild plant called Honey-clover"", ""a photo of Melilotus albus (Bokhara clover)"", ""a close-up photo of Melilotus albus (Bokhara clover)"", ""a photo of Melilotus albus, a plant in the family Fabaceae"", ""a close-up photo of Melilotus albus, a plant in the family Fabaceae""]"
1395193,Rhus typhina,Stag's-horn sumach,10,"[""a photo of Rhus typhina"", ""a close-up photo of Rhus typhina"", ""a wild plant of species Rhus typhina"", ""a photo of Stag's-horn sumach"", ""a close-up photo of Stag's-horn sumach"", ""a wild plant called Stag's-horn sumach"", ""a photo of Rhus typhina (Stag's-horn sumach)"", ""a close-up photo of Rhus typhina (Stag's-horn sumach)"", ""a photo of Rhus typhina, a plant in the family Anacardiaceae"", ""a close-up photo of Rhus typhina, a plant in the family Anacardiaceae""]"
1356167,Solanum nigrum,Black nightshade,19,"[""a photo of Solanum nigrum"", ""a close-up photo of Solanum nigrum"", ""a wild plant of species Solanum nigrum"", ""a photo of Black nightshade"", ""a close-up photo of Black nightshade"", ""a wild plant called Black nightshade"", ""a photo of Blackberry nightshade"", ""a close-up photo of Blackberry nightshade"", ""a wild plant called Blackberry nightshade"", ""a photo of Common nightshade"", ""a close-up photo of Common nightshade"", ""a wild plant called Common nightshade"", ""a photo of European black nightshade"", ""a close-up photo of European black nightshade"", ""a wild plant called European black nightshade"", ""a photo of Solanum nigrum (Black nightshade)"", ""a close-up photo of Solanum nigrum (Black nightshade)"", ""a photo of Solanum nigrum, a plant in the family Solanaceae"", ""a close-up photo of Solanum nigrum, a plant in the family Solanaceae""]"
1394924,Primula vulgaris,English primrose,13,"[""a photo of Primula vulgaris"", ""a close-up photo of Primula vulgaris"", ""a wild plant of species Primula vulgaris"", ""a photo of English primrose"", ""a close-up photo of English primrose"", ""a wild plant called English primrose"", ""a photo of Primrose"", ""a close-up photo of Primrose"", ""a wild plant called Primrose"", ""a photo of Primula vulgaris (English primrose)"", ""a close-up photo of Primula vulgaris (English primrose)"", ""a photo of Primula vulgaris, a plant in the family Primulaceae"", ""a close-up photo of Primula vulgaris, a plant in the family Primulaceae""]"
1361104,Schoenoplectus lacustris,Common club-rush,13,"[""a photo of Schoenoplectus lacustris"", ""a close-up photo of Schoenoplectus lacustris"", ""a wild plant of species Schoenoplectus lacustris"", ""a photo of Common club-rush"", ""a close-up photo of Common club-rush"", ""a wild plant called Common club-rush"", ""a photo of Lakeshore bulrush"", ""a close-up photo of Lakeshore bulrush"", ""a wild plant called Lakeshore bulrush"", ""a photo of Schoenoplectus lacustris (Common club-rush)"", ""a close-up photo of Schoenoplectus lacustris (Common club-rush)"", ""a photo of Schoenoplectus lacustris, a plant in the family Cyperaceae"", ""a close-up photo of Schoenoplectus lacustris, a plant in the family Cyperaceae""]"
1388692,Podranea ricasoliana,Port st. john's-creeper,19,"[""a photo of Podranea ricasoliana"", ""a close-up photo of Podranea ricasoliana"", ""a wild plant of species Podranea ricasoliana"", ""a photo of Port st. john's-creeper"", ""a close-up photo of Port st. john's-creeper"", ""a wild plant called Port st. john's-creeper"", ""a photo of Queen of sheba-vine"", ""a close-up photo of Queen of sheba-vine"", ""a wild plant called Queen of sheba-vine"", ""a photo of Zimbabwe creeper"", ""a close-up photo of Zimbabwe creeper"", ""a wild plant called Zimbabwe creeper"", ""a photo of Zimbabwe-climber"", ""a close-up photo of Zimbabwe-climber"", ""a wild plant called Zimbabwe-climber"", ""a photo of Podranea ricasoliana (Port st. john's-creeper)"", ""a close-up photo of Podranea ricasoliana (Port st. john's-creeper)"", ""a photo of Podranea ricasoliana, a plant in the family Bignoniaceae"", ""a close-up photo of Podranea ricasoliana, a plant in the family Bignoniaceae""]"
1395020,Quercus cerris,European turkey oak,13,"[""a photo of Quercus cerris"", ""a close-up photo of Quercus cerris"", ""a wild plant of species Quercus cerris"", ""a photo of European turkey oak"", ""a close-up photo of European turkey oak"", ""a wild plant called European turkey oak"", ""a photo of Hairy oak"", ""a close-up photo of Hairy oak"", ""a wild plant called Hairy oak"", ""a photo of Quercus cerris (European turkey oak)"", ""a close-up photo of Quercus cerris (European turkey oak)"", ""a photo of Quercus cerris, a plant in the family Fagaceae"", ""a close-up photo of Quercus cerris, a plant in the family Fagaceae""]"
1396424,Stachys byzantina,Lamb's-ear,19,"[""a photo of Stachys byzantina"", ""a close-up photo of Stachys byzantina"", ""a wild plant of species Stachys byzantina"", ""a photo of Lamb's-ear"", ""a close-up photo of Lamb's-ear"", ""a wild plant called Lamb's-ear"", ""a photo of Lamb's-ears"", ""a close-up photo of Lamb's-ears"", ""a wild plant called Lamb's-ears"", ""a photo of Lamb's-lugs"", ""a close-up photo of Lamb's-lugs"", ""a wild plant called Lamb's-lugs"", ""a photo of Lamb's-tails"", ""a close-up photo of Lamb's-tails"", ""a wild plant called Lamb's-tails"", ""a photo of Stachys byzantina (Lamb's-ear)"", ""a close-up photo of Stachys byzantina (Lamb's-ear)"", ""a photo of Stachys byzantina, a plant in the family Lamiaceae"", ""a close-up photo of Stachys byzantina, a plant in the family Lamiaceae""]"
1360326,Prunus spinosa,Blackthorn,10,"[""a photo of Prunus spinosa"", ""a close-up photo of Prunus spinosa"", ""a wild plant of species Prunus spinosa"", ""a photo of Blackthorn"", ""a close-up photo of Blackthorn"", ""a wild plant called Blackthorn"", ""a photo of Prunus spinosa (Blackthorn)"", ""a close-up photo of Prunus spinosa (Blackthorn)"", ""a photo of Prunus spinosa, a plant in the family Rosaceae"", ""a close-up photo of Prunus spinosa, a plant in the family Rosaceae""]"
1667948,Prunus fruticans,,5,"[""a photo of Prunus fruticans"", ""a close-up photo of Prunus fruticans"", ""a wild plant of species Prunus fruticans"", ""a photo of Prunus fruticans, a plant in the family Rosaceae"", ""a close-up photo of Prunus fruticans, a plant in the family Rosaceae""]"
1393331,Jasminum nudiflorum,Winter jasmine,10,"[""a photo of Jasminum nudiflorum"", ""a close-up photo of Jasminum nudiflorum"", ""a wild plant of species Jasminum nudiflorum"", ""a photo of Winter jasmine"", ""a close-up photo of Winter jasmine"", ""a wild plant called Winter jasmine"", ""a photo of Jasminum nudiflorum (Winter jasmine)"", ""a close-up photo of Jasminum nudiflorum (Winter jasmine)"", ""a photo of Jasminum nudiflorum, a plant in the family Oleaceae"", ""a close-up photo of Jasminum nudiflorum, a plant in the family Oleaceae""]"
1356276,Sambucus ebulus,Danewort,16,"[""a photo of Sambucus ebulus"", ""a close-up photo of Sambucus ebulus"", ""a wild plant of species Sambucus ebulus"", ""a photo of Danewort"", ""a close-up photo of Danewort"", ""a wild plant called Danewort"", ""a photo of Dwarf elder"", ""a close-up photo of Dwarf elder"", ""a wild plant called Dwarf elder"", ""a photo of Dwarf elderberry"", ""a close-up photo of Dwarf elderberry"", ""a wild plant called Dwarf elderberry"", ""a photo of Sambucus ebulus (Danewort)"", ""a close-up photo of Sambucus ebulus (Danewort)"", ""a photo of Sambucus ebulus, a plant in the family Viburnaceae"", ""a close-up photo of Sambucus ebulus, a plant in the family Viburnaceae""]"
1394877,Potentilla sterilis,Barren strawberry,10,"[""a photo of Potentilla sterilis"", ""a close-up photo of Potentilla sterilis"", ""a wild plant of species Potentilla sterilis"", ""a photo of Barren strawberry"", ""a close-up photo of Barren strawberry"", ""a wild plant called Barren strawberry"", ""a photo of Potentilla sterilis (Barren strawberry)"", ""a close-up photo of Potentilla sterilis (Barren strawberry)"", ""a photo of Potentilla sterilis, a plant in the family Rosaceae"", ""a close-up photo of Potentilla sterilis, a plant in the family Rosaceae""]"
1358613,Quercus coccifera,Kermes oak,10,"[""a photo of Quercus coccifera"", ""a close-up photo of Quercus coccifera"", ""a wild plant of species Quercus coccifera"", ""a photo of Kermes oak"", ""a close-up photo of Kermes oak"", ""a wild plant called Kermes oak"", ""a photo of Quercus coccifera (Kermes oak)"", ""a close-up photo of Quercus coccifera (Kermes oak)"", ""a photo of Quercus coccifera, a plant in the family Fagaceae"", ""a close-up photo of Quercus coccifera, a plant in the family Fagaceae""]"
1360324,Prunus padus,Bird cherry,13,"[""a photo of Prunus padus"", ""a close-up photo of Prunus padus"", ""a wild plant of species Prunus padus"", ""a photo of Bird cherry"", ""a close-up photo of Bird cherry"", ""a wild plant called Bird cherry"", ""a photo of European bird cherry"", ""a close-up photo of European bird cherry"", ""a wild plant called European bird cherry"", ""a photo of Prunus padus (Bird cherry)"", ""a close-up photo of Prunus padus (Bird cherry)"", ""a photo of Prunus padus, a plant in the family Rosaceae"", ""a close-up photo of Prunus padus, a plant in the family Rosaceae""]"
1362488,Santolina rosmarinifolia,Holy-flax,10,"[""a photo of Santolina rosmarinifolia"", ""a close-up photo of Santolina rosmarinifolia"", ""a wild plant of species Santolina rosmarinifolia"", ""a photo of Holy-flax"", ""a close-up photo of Holy-flax"", ""a wild plant called Holy-flax"", ""a photo of Santolina rosmarinifolia (Holy-flax)"", ""a close-up photo of Santolina rosmarinifolia (Holy-flax)"", ""a photo of Santolina rosmarinifolia, a plant in the family Asteraceae"", ""a close-up photo of Santolina rosmarinifolia, a plant in the family Asteraceae""]"
1358494,Elaeagnus angustifolia,Oleaster,19,"[""a photo of Elaeagnus angustifolia"", ""a close-up photo of Elaeagnus angustifolia"", ""a wild plant of species Elaeagnus angustifolia"", ""a photo of Oleaster"", ""a close-up photo of Oleaster"", ""a wild plant called Oleaster"", ""a photo of Russian olive"", ""a close-up photo of Russian olive"", ""a wild plant called Russian olive"", ""a photo of Russian silverberry"", ""a close-up photo of Russian silverberry"", ""a wild plant called Russian silverberry"", ""a photo of Russian elaeagnus"", ""a close-up photo of Russian elaeagnus"", ""a wild plant called Russian elaeagnus"", ""a photo of Elaeagnus angustifolia (Oleaster)"", ""a close-up photo of Elaeagnus angustifolia (Oleaster)"", ""a photo of Elaeagnus angustifolia, a plant in the family Elaeagnaceae"", ""a close-up photo of Elaeagnus angustifolia, a plant in the family Elaeagnaceae""]"
1722409,Salvia rosmarinus,Rosemary,10,"[""a photo of Salvia rosmarinus"", ""a close-up photo of Salvia rosmarinus"", ""a wild plant of species Salvia rosmarinus"", ""a photo of Rosemary"", ""a close-up photo of Rosemary"", ""a wild plant called Rosemary"", ""a photo of Salvia rosmarinus (Rosemary)"", ""a close-up photo of Salvia rosmarinus (Rosemary)"", ""a photo of Salvia rosmarinus, a plant in the family Lamiaceae"", ""a close-up photo of Salvia rosmarinus, a plant in the family Lamiaceae""]"
1392353,Filipendula ulmaria,,5,"[""a photo of Filipendula ulmaria"", ""a close-up photo of Filipendula ulmaria"", ""a wild plant of species Filipendula ulmaria"", ""a photo of Filipendula ulmaria, a plant in the family Rosaceae"", ""a close-up photo of Filipendula ulmaria, a plant in the family Rosaceae""]"
1395253,Rosa arvensis,Field-rose,10,"[""a photo of Rosa arvensis"", ""a close-up photo of Rosa arvensis"", ""a wild plant of species Rosa arvensis"", ""a photo of Field-rose"", ""a close-up photo of Field-rose"", ""a wild plant called Field-rose"", ""a photo of Rosa arvensis (Field-rose)"", ""a close-up photo of Rosa arvensis (Field-rose)"", ""a photo of Rosa arvensis, a plant in the family Rosaceae"", ""a close-up photo of Rosa arvensis, a plant in the family Rosaceae""]"
1395643,Rumex alpinus,Alpine dock,19,"[""a photo of Rumex alpinus"", ""a close-up photo of Rumex alpinus"", ""a wild plant of species Rumex alpinus"", ""a photo of Alpine dock"", ""a close-up photo of Alpine dock"", ""a wild plant called Alpine dock"", ""a photo of Butter dock"", ""a close-up photo of Butter dock"", ""a wild plant called Butter dock"", ""a photo of Monk's-rhubarb"", ""a close-up photo of Monk's-rhubarb"", ""a wild plant called Monk's-rhubarb"", ""a photo of Mountain-rhubarb"", ""a close-up photo of Mountain-rhubarb"", ""a wild plant called Mountain-rhubarb"", ""a photo of Rumex alpinus (Alpine dock)"", ""a close-up photo of Rumex alpinus (Alpine dock)"", ""a photo of Rumex alpinus, a plant in the family Polygonaceae"", ""a close-up photo of Rumex alpinus, a plant in the family Polygonaceae""]"
1360792,Scandix australis,,5,"[""a photo of Scandix australis"", ""a close-up photo of Scandix australis"", ""a wild plant of species Scandix australis"", ""a photo of Scandix australis, a plant in the family Apiaceae"", ""a close-up photo of Scandix australis, a plant in the family Apiaceae""]"
1356066,Plantago lanceolata,Buckhorn,19,"[""a photo of Plantago lanceolata"", ""a close-up photo of Plantago lanceolata"", ""a wild plant of species Plantago lanceolata"", ""a photo of Buckhorn"", ""a close-up photo of Buckhorn"", ""a wild plant called Buckhorn"", ""a photo of Buckhorn plantain"", ""a close-up photo of Buckhorn plantain"", ""a wild plant called Buckhorn plantain"", ""a photo of English plantai"", ""a close-up photo of English plantai"", ""a wild plant called English plantai"", ""a photo of English plantain"", ""a close-up photo of English plantain"", ""a wild plant called English plantain"", ""a photo of Plantago lanceolata (Buckhorn)"", ""a close-up photo of Plantago lanceolata (Buckhorn)"", ""a photo of Plantago lanceolata, a plant in the family Plantaginaceae"", ""a close-up photo of Plantago lanceolata, a plant in the family Plantaginaceae""]"
1360520,Verbascum boerhavii,,5,"[""a photo of Verbascum boerhavii"", ""a close-up photo of Verbascum boerhavii"", ""a wild plant of species Verbascum boerhavii"", ""a photo of Verbascum boerhavii, a plant in the family Scrophulariaceae"", ""a close-up photo of Verbascum boerhavii, a plant in the family Scrophulariaceae""]"
1395935,Sarracenia purpurea,Common pitcherplant,19,"[""a photo of Sarracenia purpurea"", ""a close-up photo of Sarracenia purpurea"", ""a wild plant of species Sarracenia purpurea"", ""a photo of Common pitcherplant"", ""a close-up photo of Common pitcherplant"", ""a wild plant called Common pitcherplant"", ""a photo of Frog's-britches"", ""a close-up photo of Frog's-britches"", ""a wild plant called Frog's-britches"", ""a photo of Huntsman's-cup"", ""a close-up photo of Huntsman's-cup"", ""a wild plant called Huntsman's-cup"", ""a photo of Huntsman's-horns"", ""a close-up photo of Huntsman's-horns"", ""a wild plant called Huntsman's-horns"", ""a photo of Sarracenia purpurea (Common pitcherplant)"", ""a close-up photo of Sarracenia purpurea (Common pitcherplant)"", ""a photo of Sarracenia purpurea, a plant in the family Sarraceniaceae"", ""a close-up photo of Sarracenia purpurea, a plant in the family Sarraceniaceae""]"
1360132,Rumex obtusifolius,Bitter dock,19,"[""a photo of Rumex obtusifolius"", ""a close-up photo of Rumex obtusifolius"", ""a wild plant of species Rumex obtusifolius"", ""a photo of Bitter dock"", ""a close-up photo of Bitter dock"", ""a wild plant called Bitter dock"", ""a photo of Broad-leaved dock"", ""a close-up photo of Broad-leaved dock"", ""a wild plant called Broad-leaved dock"", ""a photo of Broad-leaved dock, bitter dock"", ""a close-up photo of Broad-leaved dock, bitter dock"", ""a wild plant called Broad-leaved dock, bitter dock"", ""a photo of Broadleaf dock"", ""a close-up photo of Broadleaf dock"", ""a wild plant called Broadleaf dock"", ""a photo of Rumex obtusifolius (Bitter dock)"", ""a close-up photo of Rumex obtusifolius (Bitter dock)"", ""a photo of Rumex obtusifolius, a plant in the family Polygonaceae"", ""a close-up photo of Rumex obtusifolius, a plant in the family Polygonaceae""]"
1363424,Digitaria sanguinalis,,5,"[""a photo of Digitaria sanguinalis"", ""a close-up photo of Digitaria sanguinalis"", ""a wild plant of species Digitaria sanguinalis"", ""a photo of Digitaria sanguinalis, a plant in the family Poaceae"", ""a close-up photo of Digitaria sanguinalis, a plant in the family Poaceae""]"
1356975,Silene colorata,,5,"[""a photo of Silene colorata"", ""a close-up photo of Silene colorata"", ""a wild plant of species Silene colorata"", ""a photo of Silene colorata, a plant in the family Caryophyllaceae"", ""a close-up photo of Silene colorata, a plant in the family Caryophyllaceae""]"
1364085,Tamarix ramosissima,Odessa tamarisk,19,"[""a photo of Tamarix ramosissima"", ""a close-up photo of Tamarix ramosissima"", ""a wild plant of species Tamarix ramosissima"", ""a photo of Odessa tamarisk"", ""a close-up photo of Odessa tamarisk"", ""a wild plant called Odessa tamarisk"", ""a photo of Salt cedar"", ""a close-up photo of Salt cedar"", ""a wild plant called Salt cedar"", ""a photo of Saltcedar"", ""a close-up photo of Saltcedar"", ""a wild plant called Saltcedar"", ""a photo of Pink tamarisk"", ""a close-up photo of Pink tamarisk"", ""a wild plant called Pink tamarisk"", ""a photo of Tamarix ramosissima (Odessa tamarisk)"", ""a close-up photo of Tamarix ramosissima (Odessa tamarisk)"", ""a photo of Tamarix ramosissima, a plant in the family Tamaricaceae"", ""a close-up photo of Tamarix ramosissima, a plant in the family Tamaricaceae""]"
1393536,Lilium pyrenaicum,Pyrenean lily,13,"[""a photo of Lilium pyrenaicum"", ""a close-up photo of Lilium pyrenaicum"", ""a wild plant of species Lilium pyrenaicum"", ""a photo of Pyrenean lily"", ""a close-up photo of Pyrenean lily"", ""a wild plant called Pyrenean lily"", ""a photo of Yellow turk's-cap lily"", ""a close-up photo of Yellow turk's-cap lily"", ""a wild plant called Yellow turk's-cap lily"", ""a photo of Lilium pyrenaicum (Pyrenean lily)"", ""a close-up photo of Lilium pyrenaicum (Pyrenean lily)"", ""a photo of Lilium pyrenaicum, a plant in the family Liliaceae"", ""a close-up photo of Lilium pyrenaicum, a plant in the family Liliaceae""]"
1728592,Potentilla verna,Spring cinquefoil,10,"[""a photo of Potentilla verna"", ""a close-up photo of Potentilla verna"", ""a wild plant of species Potentilla verna"", ""a photo of Spring cinquefoil"", ""a close-up photo of Spring cinquefoil"", ""a wild plant called Spring cinquefoil"", ""a photo of Potentilla verna (Spring cinquefoil)"", ""a close-up photo of Potentilla verna (Spring cinquefoil)"", ""a photo of Potentilla verna, a plant in the family Rosaceae"", ""a close-up photo of Potentilla verna, a plant in the family Rosaceae""]"
1394967,Pseudotsuga menziesii,British columbia fir,19,"[""a photo of Pseudotsuga menziesii"", ""a close-up photo of Pseudotsuga menziesii"", ""a wild plant of species Pseudotsuga menziesii"", ""a photo of British columbia fir"", ""a close-up photo of British columbia fir"", ""a wild plant called British columbia fir"", ""a photo of Douglas fir"", ""a close-up photo of Douglas fir"", ""a wild plant called Douglas fir"", ""a photo of Douglas spruce"", ""a close-up photo of Douglas spruce"", ""a wild plant called Douglas spruce"", ""a photo of Douglas-fir"", ""a close-up photo of Douglas-fir"", ""a wild plant called Douglas-fir"", ""a photo of Pseudotsuga menziesii (British columbia fir)"", ""a close-up photo of Pseudotsuga menziesii (British columbia fir)"", ""a photo of Pseudotsuga menziesii, a plant in the family Pinaceae"", ""a close-up photo of Pseudotsuga menziesii, a plant in the family Pinaceae""]"
1393214,Hornungia alpina,,5,"[""a photo of Hornungia alpina"", ""a close-up photo of Hornungia alpina"", ""a wild plant of species Hornungia alpina"", ""a photo of Hornungia alpina, a plant in the family Brassicaceae"", ""a close-up photo of Hornungia alpina, a plant in the family Brassicaceae""]"
